,CMB,Eckhardt_digital,final_baseflow,streamflow,UKIH,Local_PH,Fixed_PH,Slide_PH
2015-10-01,0.298327650810845,0.5661966929924234,0.677415793187887,0.7070636811467718,0.5631690993091901,0.5661966929924234,0.6730466627998833,0.7070636811467718
2015-10-02,0.29445985783722756,0.5641664025612015,0.6607282036757381,0.6867540763663664,0.5710652367228389,0.5555984076601953,0.6730466627998833,0.6730466627998833
2015-10-03,0.291794302749406,0.5617306409738302,0.6446673612919281,0.6730466627998832,0.5789613741364876,0.5455198702069848,0.6730466627998833,0.6527354827848683
2015-10-04,0.28776003534805195,0.5586665171364825,0.6293438517717391,0.6527354827848683,0.5868575115501364,0.5360032862135747,0.6306638729185435,0.6475531924044878
2015-10-05,0.2867141283867985,0.5555595795042508,0.6162644454279408,0.6475531924044878,0.5947536489637852,0.5267486063718636,0.6306638729185435,0.6306638729185435
2015-10-06,0.2832573257749017,0.5519821706156477,0.6049106543721728,0.6306638729185435,0.6026497863774339,0.517638342078108,0.6306638729185435,0.6105459237910827
2015-10-07,0.27904071674423625,0.5478384138164991,0.5919558081424936,0.6105459237910827,0.6105459237910827,0.5092897023799968,0.5839486859182099,0.5936145797722722
2015-10-08,0.27540537087659084,0.5432725218332862,0.5777635715719054,0.5936145797722722,0.5936145797722722,0.5017661443204011,0.5839486859182099,0.5839486859182099
2015-10-09,0.27329327703201084,0.538571487407226,0.5666698571779956,0.5839486859182099,0.5839486859182099,0.4947108344400087,0.5839486859182099,0.5751939560483401
2015-10-10,0.2713566387536758,0.5337752569832138,0.554983372999813,0.5751939560483401,0.5751939560483401,0.4878302544500141,0.5565854277819486,0.574253621095679
2015-10-11,0.27114727070096234,0.5291752446400735,0.5481288183339416,0.574253621095679,0.5673775269837754,0.4807848327644469,0.5565854277819486,0.5565854277819486
2015-10-12,0.2671634628891352,0.5241479996357159,0.5383632316118278,0.5565854277819486,0.5565854277819486,0.47392256046652526,0.5565854277819486,0.537872049470095
2015-10-13,0.26283751961374513,0.5186757105374603,0.5240311021975251,0.537872049470095,0.537872049470095,0.537872049470095,0.537872049470095,0.537872049470095
2015-10-14,0.2694057314968544,0.5145166761365029,0.5175310380872711,0.5664777282200951,0.5355201644276777,0.5281742874329778,0.537872049470095,0.537872049470095
2015-10-15,0.2809815863852339,0.5125128019419003,0.5199444433162013,0.619741092569653,0.5249875327505422,0.5184765253958605,0.537872049470095,0.5638663525310728
2015-10-16,0.26881674663551225,0.5085543958191878,0.5035933515149423,0.5638663525310728,0.5144549010734067,0.5087787633587433,0.5135474248166917,0.529515761856857
2015-10-17,0.2608691578733563,0.5035255485380163,0.48676876886384685,0.5295157618568569,0.5039222693962713,0.4990810013216261,0.5135474248166917,0.5135474248166917
2015-10-18,0.2570425557586056,0.4981524934734057,0.47133820672281174,0.5135474248166917,0.4933896377191358,0.48938323928450883,0.5135474248166917,0.5000622338017184
2015-10-19,0.25374219766864614,0.4925429356757695,0.4585759207945249,0.5000622338017184,0.4828570060420003,0.4796854772473916,0.4634986212289373,0.48026526142892895
2015-10-20,0.2487779891875726,0.48026526142892895,0.44697458829562103,0.48026526142892895,0.47232437436486485,0.4699877152102743,0.4634986212289373,0.4634986212289373
2015-10-21,0.24445776598969815,0.4634986212289373,0.4351358030309997,0.4634986212289373,0.4617917426877294,0.4602899531731571,0.4634986212289373,0.4512591110105939
2015-10-22,0.24123384395725006,0.4512591110105939,0.42366007908120284,0.4512591110105939,0.4512591110105939,0.4505921911360399,0.43131124705121787,0.4408751114706373
2015-10-23,0.2384504492195005,0.4408751114706373,0.41186875534262096,0.4408751114706373,0.4408751114706373,0.4408751114706373,0.43131124705121787,0.43131124705121787
2015-10-24,0.2358464796014491,0.43131124705121787,0.4026117088300261,0.43131124705121787,0.43131124705121787,0.43119666706180537,0.43131124705121787,0.4213536701034368
2015-10-25,0.2330928889709631,0.4213536701034368,0.39577984383877424,0.4213536701034368,0.4213536701034368,0.4213536701034368,0.41180114298757087,0.41180114298757087
2015-10-26,0.23040940357724116,0.41180114298757087,0.3893961408196119,0.41180114298757087,0.41180114298757087,0.41180114298757087,0.41180114298757087,0.41180114298757087
2015-10-27,0.2344631135028059,0.4076378005305592,0.38685469725078403,0.4262888442832416,0.4262888442832417,0.4262888442832417,0.41180114298757087,0.41180114298757087
2015-10-28,0.25687657815796927,0.40685252664801363,0.402604017217963,0.512862954081373,0.4419705195793189,0.47559754880440624,0.512862954081373,0.4262888442832417
