datetime,time [d],exfiltration [mol d^-1],infiltration [mol d^-1],net exchange flux [mol d^-1],watershed boundary discharge [mol d^-1],net runoff [mol d^-1],net groundwater flux [mol d^-1],total evapotranspiration [m d^-1],snow precipitation [m d^-1],rain precipitation [m d^-1],surface air temperature [K],incoming shortwave radiation [W m^-2],incident shortwave radiation [W m^-2],surface water content [mol],subsurface water content [mol],snow water content [mol],canopy water content [mol],snow evaporation [m d^-1],surface evaporation [m d^-1],transpiration [m d^-1],canopy evaporation [m d^-1],canopy drainage [m d^-1],water to surface [m d^-1],snow to surface [m SWE d^-1],snowmelt [m d^-1],max ponded depth [m],SWE [m],canopy interception [m d^-1],net groundwater flux [m^3/d],net groundwater flux [m/d],rain precipitation [mm d^-1],snow precipitation [mm d^-1],snowmelt [mm d^-1],watershed boundary discharge [m^3/d],watershed boundary discharge [m/d],total evapotranspiration [mm d^-1],snow water content [m],surface water content [m],subsurface water content [m],exfiltration [m d^-1],canopy water content [m],total water content [m]
2015-10-11,13058.0,9531860339.055,-10830471950.48,-1298611611.421,2753660963.878,2753660963.878,-3.218818500372e-07,0.0006179257473003,0.0,0.00162263204427,282.3175073337,149.1588023623,147.0447394585,49663061937.11,10219445385710.0,0.0,131159569.634,0.0,0.0001393482591418,0.0003968079301264,8.176955803207e-05,4.787124130319e-06,0.001497613250152,0.0,0.0,4.866144564825,0.0,0.0001298059182484,-5.7996729736432434e-12,-1.0909982252889397e-19,1.62263204427,0.0,0.0,49615.51286266666,0.0009333360126677313,0.6179257473002999,0.0,0.01683298155193896,3.463816545716484,0.0032307639316753005,4.4455708727850794e-05,3.480693982977151
2015-10-12,13059.0,9379177125.981,-8413056866.438,966120259.5426,2668938443.3,2668938443.3,-1.235198664899e-07,0.0007994424639145,0.0,0.0007375600201227,280.2140746598,184.514814878,182.1010938765,49466917595.78,10216884601470.0,0.0,36581562.66522,0.0,0.0001709643315435,0.0005405012459537,8.79768864173e-05,2.458437399595e-06,0.0006816419258214,0.0,0.0,4.865146353891,0.0,5.837653170089e-05,-2.225583179998198e-12,-4.1866279541028304e-20,0.7375600201227,0.0,0.0,48088.980960360364,0.0009046198487765642,0.7994424639144999,0.0,0.016766499664790997,3.4629485840526417,0.0031790129197819933,1.2399089896320246e-05,3.479727482807329
2015-10-13,13060.0,9155096829.38,-6446387660.123,2708709169.257,2579204051.619,2579204051.619,2.961783106049e-07,0.0005801035656827,0.0,0.0,280.9941850929,172.3849674322,170.043854078,49355138631.66,10212726251520.0,0.0,16002082.05071,0.0,8.184436228674e-05,0.0004913464888721,6.91271452387e-06,6.26448779234e-08,6.26448779234e-08,0.0,0.0,4.864579977098,0.0,0.0,5.3365461370252255e-12,1.0038776998506688e-19,0.0,0.0,0.0,46472.14507421621,0.0008742049427916384,0.5801035656827,0.0,0.016728612890042606,3.4615391375693885,0.003103062316824524,5.42380476446092e-06,3.4782731742641957
2015-10-14,13061.0,9053469482.065,-13412757683.78,-4359288201.718,2716374002.361,2716374002.361,-3.270950387146e-07,0.0002388767983091,0.0,0.002644220271104,279.5332827559,87.70395159352,86.08861637237,49550321140.17,10216694369990.0,0.0,232911495.1547,0.0,6.190854096845e-05,0.0001325845896926,4.438366764797e-05,8.30554918257e-05,0.002526315489313,0.0,0.0,4.866833923626,0.0,0.0002009602736164,-5.893604301163964e-12,-1.108667999445148e-19,2.644220271104,0.0,0.0,48943.67571821622,0.0009206978322804985,0.23887679830910002,0.0,0.016794768770023796,3.4628841062925413,0.0030686163685523017,7.894388199701352e-05,3.4797578189445617
2015-10-15,13062.0,9091202643.962,-11815327195.67,-2724124551.709,2971782487.09,2971782487.09,1.431937718566e-07,0.0001759755088971,0.0,0.002001032943227,280.1954132409,156.5417526114,154.4193773584,49441811473.42,10219292706700.0,0.0,155851587.0548,0.0,5.125196597135e-05,4.263504083028e-05,8.20885020955e-05,9.455947077437e-05,0.001945065058007,0.0,0.0,4.866617726272,0.0,0.0001505273559946,2.58006796138018e-12,4.8534625655321984e-20,2.001032943227,0.0,0.0,53545.630398018024,0.0010072669269749874,0.1759755088971,0.0,0.016757990102995116,3.4637647961291957,0.0030814057857435503,5.282491226690807e-05,3.480575611144458
2015-10-16,13063.0,8835556229.207,-6215047824.917,2620508404.29,2703851933.657,2703851933.657,3.571108611228e-07,0.0003420292882492,0.0,9.244773545537e-10,279.9997993763,160.0097510154,158.1181192896,49195258352.84,10215929469670.0,0.0,52696950.52556,0.0,5.545374903809e-05,0.0002517434071551,3.483213205605e-05,1.339632036123e-07,1.348876809669e-07,0.0,0.0,4.86471459381,0.0,0.0,6.43442993014054e-12,1.2104047359966171e-19,9.244773545536999e-07,0.0,0.0,48718.052858684685,0.0009164535560867859,0.3420292882492,0.0,0.016674422478116253,3.462624848154331,0.0029947560461676933,1.786129895018331e-05,3.4793171319313974
2015-10-17,13064.0,8572506869.153,-6037254778.228,2535252090.925,2539133981.256,2539133981.256,1.520860171484e-07,0.000389844577845,0.0,0.0,281.1650927872,183.1146463617,181.17536838,49055579942.8,10212403532920.0,0.0,29003479.00051,0.0,4.612527177465e-05,0.0003357861511201,7.933154950274e-06,9.789807015521e-08,9.789807015521e-08,0.0,0.0,4.863831113785,0.0,0.0,2.7402885972684685e-12,5.154859610164151e-20,0.0,0.0,0.0,45750.161824432435,0.0008606234452178599,0.38984457784500004,0.0,0.01662707936217256,3.4614297541357386,0.00290559712498306,9.830546243320173e-06,3.4780666640441544
2015-10-18,13065.0,8331252772.059,-5899234890.348,2432017881.711,2462562611.481,2462562611.481,4.087964285404e-08,0.0003889578343023,0.0,0.0,282.0328825327,173.2298773121,171.2382951343,48937605198.76,10208917376920.0,0.0,23013341.07864,0.0,2.968346058194e-05,0.0003572930877051,1.981286015218e-06,4.960878440941e-08,4.960878440941e-08,0.0,0.0,4.863253932822,0.0,0.0,7.365701415142342e-13,1.3855897062555387e-20,0.0,0.0,0.0,44370.49750416216,0.0008346700624711118,0.38895783430229997,0.0,0.01658709256690539,3.460248143551407,0.002823825570686718,7.800226782548817e-06,3.4768430363450955
2015-10-19,13066.0,8131716699.404,-5769126649.276,2362590050.128,2397898423.526,2397898423.526,-4.54520488271e-07,0.0003468952481228,0.0,0.0,283.073096706,181.5632825397,179.7313197661,48822984259.35,10205611707870.0,0.0,21945740.94523,0.0,2.693272153768e-05,0.0003196507020302,3.118245549973e-07,5.022761672562e-08,5.022761672562e-08,0.0,0.0,4.862752737414,0.0,0.0,-8.189558347225224e-12,-1.5405685222817445e-19,0.0,0.0,0.0,43205.37700046847,0.000812752543887662,0.3468952481228,0.0,0.016548242522560604,3.459127707880205,0.0027561940776023542,7.438370452117656e-06,3.4756833887732177
2015-10-20,13067.0,7950331927.318,-5593705433.662,2356626493.656,2302967981.604,2302967981.604,-9.050971217824e-07,0.0005499311420379,0.0,0.0,282.3855069865,162.4340857699,160.6351532763,48639229851.49,10201873679180.0,0.0,18275398.93951,0.0,8.051884183715e-05,0.0004682173044348,1.194995765892e-06,4.923031487035e-08,4.923031487035e-08,0.0,0.0,4.861855590941,0.0,0.0,-1.6308056248331532e-11,-3.067769597647723e-19,0.0,0.0,0.0,41494.91858745946,0.0007805764694520182,0.5499311420379001,0.0,0.016485960125202346,3.457860726636498,0.002694714853341218,6.194331183056295e-06,3.474352881092883
